NOMBRE1,NOMBRE1_0,NOMBRE2_0,NOMBRE1_3
ISIDRA,854,706,1560
GRISELDA,620,936,1556
ERICK,1484,72,1556
AURELIA,926,629,1555
ALTAGRACIA,853,699,1552
AMADA,1083,469,1552
MELBA,1422,129,1551
ADELMO,759,788,1547
BENITA,944,603,1547
JERONIMO,1194,353,1547
EDELMIRA,765,770,1535
RENIERY,330,1204,1534
NUBIA,1161,372,1533
ARNOLDO,424,1107,1531
EMELDA,707,816,1523
LEONARDA,1057,464,1521
ILDA,1173,335,1508
INOCENTE,527,979,1506
MARBIN,1400,103,1503
CLARA,1152,349,1501
JEOVANNY,146,1354,1500
JUSTA,1361,129,1490
SEBASTIANA,943,541,1484
OSMIN,704,777,1481
YOVANI,149,1305,1454
EDUVIGES,332,1121,1453
ARCADIA,902,551,1453
SABINA,904,543,1447
MILAGRO,594,842,1436
DAMARIS,729,707,1436
RINA,1377,56,1433
MAGDA,1386,46,1432
CALIXTO,1082,340,1422
NAUN,419,995,1414
FIDELIA,963,444,1407
AUXILIADORA,51,1349,1400
MARLIN,1289,106,1395
HERMINIO,812,576,1388
PASCUAL,860,528,1388
EUSEBIA,844,543,1387
GUMERCINDA,1002,384,1386
ARISTIDES,418,967,1385
BAUDILIO,848,536,1384
EVER,1285,96,1381
GERSON,1328,51,1379
MABEL,352,1025,1377
ROSENDO,1027,350,1377
GUMERCINDO,969,402,1371
ELDER,1234,131,1365
NESTOR,1241,111,1352
JULISSA,267,1080,1347
LEONILA,925,421,1346
FLOR,1208,125,1333
CLEOTILDE,767,563,1330
GILMA,1251,78,1329
LIZETTE,59,1263,1322
FLORA,1088,234,1322
CARLOTA,784,537,1321
ALVA,1199,122,1321
SOLEDAD,493,820,1313
ANITA,803,508,1311
SIMON,905,385,1290
YENI,1261,29,1290
ULISES,441,847,1288
BERNABE,831,457,1288
BETULIA,499,785,1284
JACINTA,772,509,1281
SABINO,921,360,1281
CORNELIO,845,419,1264
CELESTINA,740,523,1263
CANDELARIA,699,560,1259
DIONISIO,812,446,1258
MARIELA,299,953,1252
LEOPOLDO,916,328,1244
LIGIA,1112,131,1243
ENA,1191,51,1242
CLEMENTE,884,349,1233
CARMELINA,780,448,1228
DULCE,1223,4,1227
ELEUTERIO,832,393,1225
ELOISA,615,603,1218
SIXTO,963,255,1218
CLAUDIO,1077,136,1213
CARMELA,890,320,1210
IGNACIA,694,514,1208
REBECA,576,629,1205
PEDRINA,723,478,1201
IVIS,1138,58,1196
MARGOTH,109,1086,1195
FELICIANA,814,375,1189
BERNARDINA,823,364,1187
DORILA,694,488,1182
FABIAN,720,456,1176
ISIDORO,784,390,1174
